"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-0.335255613574049,0.910067192416426,-0.368385561382421,0.712647156485241
"2","employmentEmployed part time (fewer than 35 hours/week, paid)",-0.0377209010587931,0.130986057032052,-0.287976460346179,0.773411744930264
"3","employmentSelf-employed",-0.278801924063253,0.211505490038791,-1.31817819013643,0.187681697944329
"4","vehicle_count_simple1 vehicle",1.00464131118586,0.184090785134265,5.45731450084876,5.80667884534492e-08
"5","vehicle_count_simple2 vehicles",1.48099857569001,0.201432328010612,7.35233807957571,3.47892454088733e-13
"6","vehicle_count_simple3 or more vehicles",1.54239969384328,0.225113065331111,6.8516667016844,1.13498894849834e-11
"7","numworkers",-0.0441803986534174,0.0844563616377019,-0.523115106982005,0.600985406247557
"8","numchildren",-0.0189813416957874,0.0719806013573504,-0.263700793517323,0.792053263853956
"9","numadults",-0.241178418278314,0.0950695648072186,-2.53686254657181,0.0113039669969004
"10","hhsize2 people",-0.0503762651540034,0.123173266992961,-0.40898700167531,0.682618158375206
"11","hhsize3 people",-0.18020393417519,0.164874489070957,-1.09297645251617,0.274611414453328
"12","hhsize4 people",0.0378371764739346,0.206021228869056,0.183656687622145,0.854312106281606
"13","hhsize5 people",0.0514920096232135,0.282630565442244,0.182188396865859,0.855463954043487
"14","hhsize6 people",NA,NA,NA,NA
"15","grad_schoolNo graduate degree",0.139823224306319,0.102060570745871,1.3700023749081,0.170928303949891
"16","workplaceUsually the same location (outside home)",-0.131096532115911,0.123186600945299,-1.06421097026717,0.287435433159236
"17","studentNo, not a student",-0.125501406394754,0.22284876418,-0.563168509623792,0.573419553014048
"18","studentPart-time student",-0.130475692621929,0.266297678987917,-0.489961809347384,0.624245549150221
"19","licenseYes, has a learner’s permit",-0.194357739873835,0.34425959785269,-0.564567381958661,0.572467753266739
"20","licenseYes, has an intermediate or unrestricted license",0.675103374036045,0.188129116956587,3.58851083212087,0.000345228446428299
"21","telework_time_grp1-6 hours",-0.0465968489720421,0.129659137975208,-0.359379598690158,0.719370878019162
"22","telework_time_grpMore than 6 hours",-0.412039408854227,0.101728505616073,-4.05038299106918,5.42315569480301e-05
"23","final_home_is_rgcRGC",0.236534082881372,0.178702837518023,1.32361682761482,0.185868542929072
"24","final_cntyKitsap",0.048733406164015,0.220100260467988,0.221414577431192,0.824805237064114
"25","final_cntyPierce",0.0159943444778935,0.145212872781278,0.110144122704497,0.912312478071355
"26","final_cntySnohomish",0.110342577545261,0.141107877050202,0.781973195628223,0.434376087469049
"27","transit_benOffered",-0.174903228337324,0.113048015424557,-1.54715876860347,0.122074104032278
"28","flextime_benOffered",0.206425241129687,0.100678534932592,2.05034013722882,0.0405361645054421
"29","age25-34 years",0.196226228089453,0.163717322091712,1.19856729625427,0.230919844555662
"30","age35-44 years",0.359132040533151,0.174127307623803,2.06246823335169,0.0393661601270036
"31","age45-54 years",0.290883681680756,0.179824544254381,1.61759721336632,0.105997753177655
"32","age55-64 years",0.37548342698983,0.187636873488835,2.00111747764851,0.0455922073801492
"33","age65-74 years",0.171243378122628,0.244682274157865,0.699860170549766,0.484142805074913
"34","age75-84 years",-0.72482253215365,0.746876014422113,-0.970472365101287,0.331995880043285
"35","commute_durBetween 10 and 20 years",-0.140726985994666,0.153805673662658,-0.914966155951587,0.360383082283705
"36","commute_durBetween 2 and 3 years",-0.0104605006418845,0.139932116565281,-0.0747541086252665,0.940422128285718
"37","commute_durBetween 3 and 5 years",-0.0920638109849242,0.144180605941371,-0.638531169874267,0.523243097965659
"38","commute_durBetween 5 and 10 years",0.0660000132720397,0.137908767417201,0.47857735594414,0.632321707771359
"39","commute_durLess than a year",0.06858665986849,0.125187897245165,0.54786973323924,0.583877628171581
"40","commute_durMore than 20 years",0.246046802842506,0.20676324734096,1.1899929315618,0.234271573965872
"41","commute_freq2 days a week",0.274023703202974,0.200670829219756,1.36553830104967,0.172325725413826
"42","commute_freq3 days a week",0.501849630716974,0.205536418781668,2.44165794894999,0.0147557081278612
"43","commute_freq4 days a week",0.814396490777719,0.19184296774815,4.24512037286065,2.34373710034187e-05
"44","commute_freq5 days a week",0.658870461457662,0.183397129071006,3.59258874331979,0.000339922734756553
"45","commute_freq6-7 days a week",0.694281638748032,0.22416194529688,3.09723239521554,0.001996184276515
"46","commute_freqNone, did not commute to workplace last week",-0.315383811231073,0.182696966087138,-1.72626737042064,0.0845425242015369
"47","rent_ownOwn/paying mortgage",-0.187355577396216,0.595503308714841,-0.314617189618222,0.753104004566776
"48","rent_ownPrefer not to answer",-0.0812552407341055,0.699689670168045,-0.116130399230548,0.907567556521707
"49","rent_ownProvided by family, relative, or friend without payment or rent",-0.342564160921929,0.657472710515949,-0.52103175606042,0.602435482691299
"50","rent_ownProvided by job or military",-0.457555629793229,0.798852998886103,-0.572765740920083,0.566904704126917
"51","rent_ownRent",-0.140314698023339,0.592821785381975,-0.236689510209092,0.81293584309978
"52","delivery_pkgs_allNo Delivery",-0.142376583489779,0.0853435849281027,-1.66827516807179,0.0955076171098539
"53","delivery_pkgs_allNo HH Response",0.510660351859664,0.22910496683333,2.2289361898957,0.0259925686293649
"54","transit_qt_mile",-0.0230791077511902,0.332118211517781,-0.0694906420389253,0.944610020865705
"55","log(1 + transit_jobs45/10000)",-0.114970052613268,0.0722480571527246,-1.59132379671102,0.111785587771593
"56","log(1 + jobs_1_mile_walk/10000)",-0.198509782844014,0.157527998648757,-1.26015555676953,0.207844748134406
"57","log(1 + jobs_3_mile_bike/10000)",-0.0812012969738664,0.118848715598692,-0.683232431792136,0.494584602402172
"58","log(1 + auto_jobs_30min/10000)",0.164137937954176,0.130863110309959,1.25427202185094,0.209973948771981
"59","log(1 + dist_park)",0.175018847081371,0.276748994612095,0.632410055641525,0.527232800580224
"60","log(1 + dist_school)",0.0530006041509974,0.21418709328938,0.247450036960865,0.804599951513743
"61","survey_year",NA,NA,NA,NA
"62","industryChildcare (e.g., nanny, babysitter)",1.49254855196395,0.582539171484932,2.56214281377739,0.0105173899692043
"63","industryConstruction",1.01073568584001,0.466223348945733,2.16792163696988,0.0303498932309075
"64","industryFinancial services ",0.562932692288601,0.446768219054581,1.26001060120131,0.207897017242358
"65","industryGovernment ",0.624483438348825,0.42008507656435,1.48656420612734,0.137378151811831
"66","industryHealth care ",0.837901833569688,0.404633081620297,2.07076947395014,0.0385819878949581
"67","industryHospitality (e.g., restaurant, accommodation)",0.673722882141916,0.426431248769719,1.57990973711624,0.114376550340755
"68","industryLandscaping ",-0.338764490416551,0.750297695053984,-0.451506772111537,0.651701435283781
"69","industryManufacturing (e.g., aerospace & defense, electrical, machinery) ",0.658508244376866,0.414047187866498,1.59041834765266,0.111989414708039
"70","industryMedia ",0.417886844535384,0.701582310456991,0.595634807643859,0.551525345726197
"71","industryMilitary",0.777875452043677,0.524144117260792,1.48408696468616,0.138033984789031
"72","industryNatural resources (e.g., forestry, fishery, energy)",1.94398144594426,0.701085798575101,2.77281532430873,0.00563862738318718
"73","industryOther",0.544858180532833,0.412818213018494,1.31985015038187,0.187122906944719
"74","industryPersonal services (e.g., hair styling, personal assistance, pet sitting)",0.00763421167060385,0.546713622668714,0.0139638219244262,0.988861037353614
"75","industryPrivate education",0.403751804944895,0.489372376551981,0.82504003963127,0.40950379629858
"76","industryProfessional and business services (e.g., consulting, legal, marketing) ",0.753515536949906,0.411178213198847,1.83257651490767,0.0670995939586323
"77","industryPublic education ",0.65488685047594,0.423629853827812,1.54589400288612,0.122379303651591
"78","industryReal estate ",0.46228798083718,0.50344405795422,0.918250942747679,0.358661857564876
"79","industryRetail ",0.456406858719018,0.413846986981497,1.10283963173912,0.270305749210808
"80","industrySocial assistance ",1.05281235841488,0.49696627047875,2.11847849835093,0.0343283113159964
"81","industrySports and fitness",1.33397038495918,0.674720654432432,1.97707062351796,0.0482496366883668
"82","industryTechnology and telecommunications ",0.702995926286395,0.409493938523897,1.71674318018109,0.0862699368564167
"83","industryTransportation and utilities ",0.809982755870385,0.444910032675494,1.82055403650824,0.0689099239204668
