"","hhid","error_flag","person_id","day_id","tripnum","tripid","depart_time_timestamp","arrival_time_timestamp","mode_1","distance_miles","travel_time","speed_mph","origin_lat","origin_lng","dest_lat","dest_lng","origin_purpose","dest_purpose","arrive_date","arrival_time_hour","arrival_time_minute","depart_time_hour","depart_time_minute"
"1",23004852,NA,"2300485201",230048520101,1,"2300485201001",2023-04-19 07:59:00,2023-04-19 08:29:00,3,9.216799,30,18.433598,47.5558,-122.2686,47.6666,-122.3175,1,46,2023-04-19,8,29,7,59
"2",23004852,NA,"2300485201",230048520101,2,"2300485201002",2023-04-19 08:29:00,2023-04-19 08:55:00,3,9.113651,26,21.0315184857835,47.6666,-122.3175,47.5555,-122.2688,46,1,2023-04-19,8,55,8,29
"3",23004852,NA,"2300485201",230048520101,3,"2300485201003",2023-04-19 14:37:00,2023-04-19 15:05:00,3,9.087554,28,19.4733578190826,47.5558,-122.2686,47.6668,-122.3193,1,45,2023-04-19,15,5,14,37
"4",23004852,NA,"2300485201",230048520101,4,"2300485201004",2023-04-19 15:05:00,2023-04-19 15:19:00,3,1.141459,14,4.89197413139162,47.6668,-122.3193,47.6645,-122.341,45,50,2023-04-19,15,19,15,5
"5",23004852,NA,"2300485201",230048520101,5,"2300485201005",2023-04-19 15:32:00,2023-04-19 15:38:00,3,2.983824,6,29.83824,47.6645,-122.341,47.6275,-122.3476,50,44,2023-04-19,15,38,15,32
"6",23004852,NA,"2300485201",230048520101,6,"2300485201006",2023-04-19 15:58:00,2023-04-19 16:01:00,1,0.446145,3,8.9229,47.6274,-122.3476,47.624,-122.3519,44,46,2023-04-19,16,1,15,58
"7",23004852,NA,"2300485201",230048520101,7,"2300485201007",2023-04-19 16:01:00,2023-04-19 16:04:00,1,0.157828,3,3.15656,47.624,-122.3519,47.6229,-122.3544,46,11,2023-04-19,16,4,16,1
"8",23004852,NA,"2300485201",230048520101,8,"2300485201008",2023-04-19 16:55:00,2023-04-19 17:01:00,1,0.305715,6,3.05715,47.6228,-122.3551,47.6246,-122.3514,11,45,2023-04-19,17,1,16,55
"9",23004852,NA,"2300485201",230048520101,9,"2300485201009",2023-04-19 17:01:00,2023-04-19 17:49:00,3,7.261344,48,9.07668,47.6246,-122.3514,47.5555,-122.2691,45,1,2023-04-19,17,10,17,1
"10",23004852,NA,"2300485201",230048520101,10,"2300485201011",2023-04-19 18:23:00,2023-04-19 18:26:00,3,1.340298,3,26.80596,47.5557,-122.2687,47.5636,-122.2882,1,46,2023-04-19,18,26,18,23
"11",23004852,NA,"2300485201",230048520101,11,"2300485201012",2023-04-19 18:32:00,2023-04-19 18:38:00,3,1.340298,6,13.40298,47.5633,-122.2881,47.5556,-122.2686,46,1,2023-04-19,18,38,18,32
"12",23004852,"PUDO, no +/- travelers","2300485201",230048520101,12,"2300485201013",2023-04-19 19:36:00,2023-04-19 19:43:00,3,1.337812,7,11.4670255258601,47.5558,-122.2686,47.5635,-122.2882,1,45,2023-04-19,19,43,19,36
"13",23004852,NA,"2300485201",230048520101,13,"2300485201014",2023-04-19 19:49:00,2023-04-19 19:54:00,3,1.335948,5,16.0314401257605,47.5635,-122.2882,47.5556,-122.269,45,1,2023-04-19,19,54,19,49
"14",23004852,NA,"2300485201",230048520102,14,"2300485201015",2023-04-20 07:44:00,2023-04-20 07:58:00,3,3.098157,14,13.277834682621,47.5558,-122.2686,47.5843,-122.3056,1,46,2023-04-20,7,58,7,44
"15",23004852,NA,"2300485201",230048520102,15,"2300485201016",2023-04-20 07:58:00,2023-04-20 08:23:00,3,6.134798,25,14.723538757662,47.5843,-122.3056,47.6664,-122.3174,46,46,2023-04-20,8,23,7,58
