"","household_id","hhgroup","sample_segment","traveldate_start","traveldate_end","numdayscomplete","hh_is_complete","num_days_complete_weekday","num_complete_mon","num_complete_tue","num_complete_wed","num_complete_thu","num_complete_fri","num_days_complete_weekend","num_complete_sat","num_complete_sun","num_trips","hhsize","num_surveyable","num_participants","numadults","numchildren","numworkers","num_students","vehicle_count","hhincome_detailed","hhincome_followup","hhincome_broad","home_tract20","home_jurisdiction","home_rgcname","home_county","res_type","rent_own","res_months","res_dur","prev_rent_own","prev_res_type","prev_home_rgcname","prev_home_jurisdiction","prev_home_county","prev_home_tract20","prev_home_wa","prev_home_notwa_state","prev_home_notwa_city","prev_home_notwa_zip","prev_home_lng","prev_home_lat","prev_res_factors_housing_cost","prev_res_factors_income_change","prev_res_factors_community_change","prev_res_factors_hh_size","prev_res_factors_more_space","prev_res_factors_less_space","prev_res_factors_employment","prev_res_factors_amenities","prev_res_factors_telework","prev_res_factors_school","prev_res_factors_crime","prev_res_factors_quality","prev_res_factors_forced","prev_res_factors_other","prev_res_factors_no_answer","prev_res_factors_specify","broadband","survey_year","home_lat","home_lng","hh_race_category","hh_weight","hh_weight_2017_2019_combined"
"1",23000213,"Signup survey completed via browserMove, Diary completed via browserMove","Seattle General",2023-04-18,2023-04-18,"1","Yes","1","not complete","complete","not complete","not complete","not complete","0","not complete","not complete",NA,"3 people","1 surveyable person",1,"3 adults","0 children","3 workers","3 students","0 (no vehicles)","$25,000-$34,999","Missing: Skip Logic","$25,000-$49,999",53033004401,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.6671,-122.307,"Missing/No response",NA,NA
"2",23000745,"Signup survey completed via rMove, Diary completed via rMove","Seattle General",2023-04-16,2023-04-22,"7","Yes","5","complete","complete","complete","complete","complete","2","complete","complete",NA,"1 person","1 surveyable person",1,"1 adult","0 children","1 worker","0 students","0 (no vehicles)","$250,000 or more","Missing: Skip Logic","$200,000 or more",53033003302,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.6781,-122.376,"White non-Hispanic",1818.84526546497,NA
"3",23002222,"Signup survey completed via browserMove, Diary completed via browserMove","Seattle General",2023-04-26,2023-04-26,"1","Yes","1","not complete","not complete","complete","not complete","not complete","0","not complete","not complete",NA,"1 person","1 surveyable person",1,"1 adult","0 children","1 worker","0 students","0 (no vehicles)","$75,000-$99,999","Missing: Skip Logic","$75,000-$99,999",53033006600,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.639,-122.329,"White non-Hispanic",36.6990855332372,NA
"4",23005147,"Signup survey completed via browserMove, Diary completed via browserMove","Bellevue General",2023-04-12,2023-04-12,"1","Yes","1","not complete","not complete","complete","not complete","not complete","0","not complete","not complete",NA,"1 person","1 surveyable person",1,"1 adult","0 children","1 worker","1 student","0 (no vehicles)","Under $10,000","Missing: Skip Logic","Under $25,000",53033023604,"Bellevue","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.6041,-122.152,"AANHPI non-Hispanic",11.0013846523819,NA
"5",23005595,"Signup survey completed via rMove, Diary completed via rMove","Seattle General",2023-04-29,2023-05-05,"6","Yes","4","complete","not complete","complete","complete","complete","2","complete","complete",NA,"1 person","1 surveyable person",1,"1 adult","0 children","1 worker","0 students","0 (no vehicles)","$75,000-$99,999","Missing: Skip Logic","$75,000-$99,999",53033005401,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.6483,-122.336,"White non-Hispanic",251.805155557064,NA
"6",23005725,"Signup survey completed via browserMove, Diary completed via browserMove","Bellevue General",2023-05-01,2023-05-01,"1","Yes","1","complete","not complete","not complete","not complete","not complete","0","not complete","not complete",NA,"1 person","1 surveyable person",1,"1 adult","0 children","1 worker","0 students","0 (no vehicles)","$100,000-$149,999","Missing: Skip Logic","$100,000-$199,000",53033023807,"Bellevue","Bellevue","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.6126,-122.199,"AANHPI non-Hispanic",11.285697512491,NA
"7",23005950,"Signup survey completed via browserMove, Diary completed via browserMove","Seattle General",2023-05-02,2023-05-02,"1","Yes","1","not complete","complete","not complete","not complete","not complete","0","not complete","not complete",NA,"1 person","1 surveyable person",1,"1 adult","0 children","1 worker","0 students","0 (no vehicles)","$50,000-$74,999","Missing: Skip Logic","$50,000-$74,999",53033000700,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.7172,-122.298,"Missing/No response",34.5834961757774,NA
"8",23006090,"Signup survey completed via browserMove, Diary completed via browserMove","Seattle General",2023-04-19,2023-04-19,"1","Yes","1","not complete","not complete","complete","not complete","not complete","0","not complete","not complete",NA,"2 people","2 surveyable persons",2,"2 adults","0 children","0 workers","0 students","1 vehicle","Prefer not to answer","$25,000-$49,999","$25,000-$49,999",53033001202,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.7087,-122.314,"AANHPI non-Hispanic",37.2152992649298,NA
"9",23006539,"Signup survey completed via rMove, Diary completed via rMove","Kitsap General",2023-04-11,2023-04-17,"3","Yes","1","not complete","complete","complete","complete","not complete","0","not complete","not complete",NA,"1 person","1 surveyable person",1,"1 adult","0 children","1 worker","0 students","2 vehicles","$200,000-$249,999","Missing: Skip Logic","$200,000 or more",53035090902,"Bainbridge Island","Not RGC","Kitsap","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.6401,-122.514,"White non-Hispanic",2086.31817449191,NA
"10",23007112,"Signup survey completed via browserMove, Diary completed via browserMove","Seattle General",2023-04-18,2023-04-18,"1","Yes","1","not complete","complete","not complete","not complete","not complete","0","not complete","not complete",NA,"2 people","2 surveyable persons",2,"2 adults","0 children","2 workers","1 student","1 vehicle","$50,000-$74,999","Missing: Skip Logic","$50,000-$74,999",53033006100,"Seattle","Not RGC","King","Missing Response","Missing Response","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic",NA,NA,NA,NA,"Missing: Skip Logic","Missing Response",NA,NA,NA,NA,"Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing Response","Missing Response","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic","Missing: Skip Logic",NA,"Missing Response",2023,47.6422,-122.327,"White non-Hispanic",37.7735854449634,NA
