table,variable,value,label
trip_unlinked,analyst_merged,0,No
trip_unlinked,analyst_merged,1,Yes
trip_unlinked,analyst_split,0,No
trip_unlinked,analyst_split,1,Yes
trip_unlinked,analyst_split_loop,0,No
trip_unlinked,analyst_split_loop,1,Yes
trip_unlinked,arrive_dow,1,Monday
trip_unlinked,arrive_dow,2,Tuesday
trip_unlinked,arrive_dow,3,Wednesday
trip_unlinked,arrive_dow,4,Thursday
trip_unlinked,arrive_dow,5,Friday
trip_unlinked,arrive_dow,6,Saturday
trip_unlinked,arrive_dow,7,Sunday
day,attend_school_1,0,Not selected
day,attend_school_1,1,Selected
day,attend_school_1,995,Missing Response
day,attend_school_2,0,Not selected
day,attend_school_2,1,Selected
day,attend_school_2,995,Missing Response
day,attend_school_3,0,Not selected
day,attend_school_3,1,Selected
day,attend_school_3,995,Missing Response
day,attend_school_998,0,Not selected
day,attend_school_998,1,Selected
day,attend_school_998,995,Missing Response
day,attend_school_999,0,Not selected
day,attend_school_999,1,Selected
day,attend_school_999,995,Missing Response
person,bike_freq,1,6-7 days a week
person,bike_freq,2,5 days a week
person,bike_freq,3,4 days a week
person,bike_freq,4,3 days a week
person,bike_freq,5,2 days a week
person,bike_freq,6,1 day a week
person,bike_freq,7,1-3 days in the past month
person,bike_freq,995,Missing Response
person,bike_freq,996,Never in the past 30 days
person,carshare_freq,1,6-7 days a week
person,carshare_freq,2,5 days a week
person,carshare_freq,3,4 days a week
person,carshare_freq,4,3 days a week
person,carshare_freq,5,2 days a week
person,carshare_freq,6,1 day a week
person,carshare_freq,7,1-3 days in the past month
person,carshare_freq,995,Missing Response
person,carshare_freq,996,Never in the past 30 days
person,commute_freq,1,6-7 days a week
person,commute_freq,2,5 days a week
person,commute_freq,3,4 days a week
person,commute_freq,4,3 days a week
person,commute_freq,5,2 days a week
person,commute_freq,6,1 day a week
person,commute_freq,7,1-3 days a month
person,commute_freq,8,Less than monthly
person,commute_freq,9,Never
person,commute_freq,995,Missing: Skip Logic
person,commute_subsidy_1,0,Not selected
person,commute_subsidy_1,1,Selected
person,commute_subsidy_1,995,Missing Response
person,commute_subsidy_2,0,Not selected
person,commute_subsidy_2,1,Selected
person,commute_subsidy_2,995,Missing Response
person,commute_subsidy_3,0,Not selected
person,commute_subsidy_3,1,Selected
person,commute_subsidy_3,995,Missing Response
person,commute_subsidy_4,0,Not selected
person,commute_subsidy_4,1,Selected
person,commute_subsidy_4,995,Missing Response
person,commute_subsidy_5,0,Not selected
person,commute_subsidy_5,1,Selected
person,commute_subsidy_5,995,Missing Response
person,commute_subsidy_6,0,Not selected
person,commute_subsidy_6,1,Selected
person,commute_subsidy_6,995,Missing Response
person,commute_subsidy_7,0,Not selected
person,commute_subsidy_7,1,Selected
person,commute_subsidy_7,995,Missing Response
person,commute_subsidy_996,0,Not selected
person,commute_subsidy_996,1,Selected
person,commute_subsidy_996,995,Missing Response
person,commute_subsidy_998,0,Not selected
person,commute_subsidy_998,1,Selected
person,commute_subsidy_998,995,Missing Response
person,commute_subsidy_use_1,0,Not selected
person,commute_subsidy_use_1,1,Selected
person,commute_subsidy_use_1,995,Missing Response
person,commute_subsidy_use_2,0,Not selected
person,commute_subsidy_use_2,1,Selected
person,commute_subsidy_use_2,995,Missing Response
person,commute_subsidy_use_3,0,Not selected
person,commute_subsidy_use_3,1,Selected
person,commute_subsidy_use_3,995,Missing Response
person,commute_subsidy_use_4,0,Not selected
person,commute_subsidy_use_4,1,Selected
person,commute_subsidy_use_4,995,Missing Response
person,commute_subsidy_use_5,0,Not selected
person,commute_subsidy_use_5,1,Selected
person,commute_subsidy_use_5,995,Missing Response
person,commute_subsidy_use_6,0,Not selected
person,commute_subsidy_use_6,1,Selected
person,commute_subsidy_use_6,995,Missing Response
person,commute_subsidy_use_7,0,Not selected
person,commute_subsidy_use_7,1,Selected
person,commute_subsidy_use_7,995,Missing Response
person,commute_subsidy_use_996,0,Not selected
person,commute_subsidy_use_996,1,Selected
person,commute_subsidy_use_996,995,Missing Response
trip_unlinked,copied_trip,0,No
trip_unlinked,copied_trip,1,Yes
day,day_iscomplete,0,No
day,day_iscomplete,1,Yes
day,deliver_elsewhere,0,Not selected
day,deliver_elsewhere,1,Selected
day,deliver_elsewhere,995,Missing Response
day,deliver_food,0,No
day,deliver_food,1,Yes
day,deliver_food,995,Missing Response
day,deliver_grocery,0,No
day,deliver_grocery,1,Yes
day,deliver_grocery,995,Missing Response
day,deliver_none,0,Not selected
day,deliver_none,1,Selected
day,deliver_none,995,Missing Response
day,deliver_office,0,Not selected
day,deliver_office,1,Selected
day,deliver_office,995,Missing Response
day,deliver_other,0,Not selected
day,deliver_other,1,Selected
day,deliver_other,995,Missing Response
day,deliver_package,0,No
day,deliver_package,1,Yes
day,deliver_package,995,Missing Response
day,deliver_work,0,No
day,deliver_work,1,Yes
day,deliver_work,995,Missing Response
trip_unlinked,depart_dow,1,Monday
trip_unlinked,depart_dow,2,Tuesday
trip_unlinked,depart_dow,3,Wednesday
trip_unlinked,depart_dow,4,Thursday
trip_unlinked,depart_dow,5,Friday
trip_unlinked,depart_dow,6,Saturday
trip_unlinked,depart_dow,7,Sunday
trip_unlinked,dest_purpose,-1,Not imputable
trip_unlinked,dest_purpose,1,Went home
trip_unlinked,dest_purpose,10,Went to primary workplace
trip_unlinked,dest_purpose,11,"Went to work-related activity (e.g., meeting, delivery, worksite)"
trip_unlinked,dest_purpose,13,Volunteering
trip_unlinked,dest_purpose,14,Went to other work-related activity
trip_unlinked,dest_purpose,21,Attend K-12 school
trip_unlinked,dest_purpose,22,Attend college/university
trip_unlinked,dest_purpose,23,"Attend other type of class (e.g., cooking class)"
trip_unlinked,dest_purpose,24,"Attend other education-related activity (e.g., field trip)"
trip_unlinked,dest_purpose,26,Attend daycare or preschool
trip_unlinked,dest_purpose,30,Grocery shopping
trip_unlinked,dest_purpose,31,Got gas
trip_unlinked,dest_purpose,32,"Other shopping (e.g., mall, pet store)"
trip_unlinked,dest_purpose,33,"Personal business (e.g., bank, post office)"
trip_unlinked,dest_purpose,34,"Medical appointment (e.g., doctor, dentist)"
trip_unlinked,dest_purpose,44,"Other activity only (e.g., attend meeting, pick-up or drop-off item)"
trip_unlinked,dest_purpose,45,Pick someone up
trip_unlinked,dest_purpose,46,Drop someone off
trip_unlinked,dest_purpose,47,"Accompany someone only (e.g., go along for the ride)"
trip_unlinked,dest_purpose,48,BOTH pick up AND drop off
trip_unlinked,dest_purpose,50,Went to restaurant to eat/get take-out
trip_unlinked,dest_purpose,51,"Exercise or recreation (e.g., gym, jog, bike, walk dog)"
trip_unlinked,dest_purpose,52,"Social event (e.g., visit friends, family, co-workers)"
trip_unlinked,dest_purpose,53,"Recreational event (e.g., movies, sporting event)"
trip_unlinked,dest_purpose,54,Religious/civic/volunteer activity
trip_unlinked,dest_purpose,60,"Changed or transferred mode (e.g., change from ferry to bus)"
trip_unlinked,dest_purpose,61,Other appointment/errands
trip_unlinked,dest_purpose,62,Other social/leisure
trip_unlinked,dest_purpose,97,Other reason
trip_unlinked,dest_purpose,150,"Went to another residence (e.g., someone else's home, second home)"
trip_unlinked,dest_purpose,152,"Went to temporary lodging (e.g., hotel, vacation rental)"
trip_unlinked,dest_purpose_cat,-1,Not imputable
trip_unlinked,dest_purpose_cat,1,Home
trip_unlinked,dest_purpose_cat,2,Work
trip_unlinked,dest_purpose_cat,3,Work-related
trip_unlinked,dest_purpose_cat,4,School
trip_unlinked,dest_purpose_cat,5,Escort
trip_unlinked,dest_purpose_cat,6,Shop
trip_unlinked,dest_purpose_cat,7,Meal
trip_unlinked,dest_purpose_cat,8,Social/Recreation
trip_unlinked,dest_purpose_cat,9,Errand/Other
trip_unlinked,dest_purpose_cat,10,Change mode
trip_unlinked,dest_purpose_cat,12,Overnight
trip_unlinked,dest_purpose_cat,13,Other
trip_unlinked,dest_purpose_cat,14,School-related
person,disability_person,0,No
person,disability_person,1,Yes
person,disability_person,995,Missing Response
person,disability_person,999,Prefer not to answer
trip_unlinked,driver,1,Driver
trip_unlinked,driver,2,Passenger
trip_unlinked,driver,3,Both (switched drivers during trip)
trip_unlinked,driver,995,Missing: Skip Logic
person,education,1,Less than high school
person,education,2,High school graduate
person,education,3,Some college
person,education,4,Vocational/technical training
person,education,5,Associates degree
person,education,6,Bachelor degree
person,education,7,Graduate/post-graduate degree
person,education,995,Missing: Skip Logic
person,education,999,Prefer not to answer
person,employment,1,"Employed full time (35+ hours/week, paid)"
person,employment,2,"Employed part time (fewer than 35 hours/week, paid)"
person,employment,3,Self-employed
person,employment,4,Unpaid volunteer or intern
person,employment,5,Homemaker
person,employment,6,"Not employed and not looking for work (e.g., retired, stay-at-home parent, student)"
person,employment,7,Unemployed and looking for work
person,employment,8,"Self-employed (fewer than 35 hours/week, paid)"
person,employment,995,Missing: Skip Logic
person,ethnicity_1,0,Not selected
person,ethnicity_1,1,Selected
person,ethnicity_1,995,Missing Response
person,ethnicity_2,0,Not selected
person,ethnicity_2,1,Selected
person,ethnicity_2,995,Missing Response
person,ethnicity_3,0,Not selected
person,ethnicity_3,1,Selected
person,ethnicity_3,995,Missing Response
person,ethnicity_4,0,Not selected
person,ethnicity_4,1,Selected
person,ethnicity_4,995,Missing Response
person,ethnicity_997,0,Not selected
person,ethnicity_997,1,Selected
person,ethnicity_997,995,Missing Response
person,ethnicity_999,0,Not selected
person,ethnicity_999,1,Selected
person,ethnicity_999,995,Missing Response
person,ev_typical_charge_1,0,Not selected
person,ev_typical_charge_1,1,Selected
person,ev_typical_charge_1,995,Missing Response
person,ev_typical_charge_2,0,Not selected
person,ev_typical_charge_2,1,Selected
person,ev_typical_charge_2,995,Missing Response
person,ev_typical_charge_3,0,Not selected
person,ev_typical_charge_3,1,Selected
person,ev_typical_charge_3,995,Missing Response
person,ev_typical_charge_4,0,Not selected
person,ev_typical_charge_4,1,Selected
person,ev_typical_charge_4,995,Missing Response
person,ev_typical_charge_5,0,Not selected
person,ev_typical_charge_5,1,Selected
person,ev_typical_charge_5,995,Missing Response
person,ev_typical_charge_6,0,Not selected
person,ev_typical_charge_6,1,Selected
person,ev_typical_charge_6,995,Missing Response
person,ev_typical_charge_997,0,Not selected
