"","telecommute_status","dest_purpose","count.x","prop.x","prop_se.x","est.x","est_se.x","count.y","prop.y","prop_se.y","est.y","est_se.y","trips_per_worker","trips_per_worker_per_week"
"1","Fully In Person","Accompany someone only (e.g., go along for the ride)",20,0.00171853996305709,0.000917917736718778,10661.8096689556,5697.85524728477,1769,0.62864501219093,0.016962556886701,1412816.00744345,63837.668814368,0.00754649551872551,0.0377324775936275
"2","Fully In Person","Attend K-12 school",32,0.00579943950087228,0.0017543251600212,35979.6812841816,10907.3100233224,1769,0.62864501219093,0.016962556886701,1412816.00744345,63837.668814368,0.0254666432816601,0.127333216408301
"3","Fully In Person","Attend college/university",25,0.00316539595728197,0.00175619782287273,19638.0939337521,10918.1757301863,1769,0.62864501219093,0.016962556886701,1412816.00744345,63837.668814368,0.0138999656220544,0.069499828110272
"4","Fully In Person","Attend daycare or preschool",1,1.19746933881607e-05,1.19785674346833e-05,74.2909123402381,74.2909123401872,1769,0.62864501219093,0.016962556886701,1412816.00744345,63837.668814368,5.25835720637613e-05,0.000262917860318806
"5","Fully In Person","Attend other education-related activity (e.g., field trip)",22,0.000929321903462792,0.000757740839756399,5765.50645833465,4703.01845767427,1769,0.62864501219093,0.016962556886701,1412816.00744345,63837.668814368,0.00408086150493693,0.0204043075246846
"6","Fully In Person","Attend other type of class (e.g., cooking class)",8,0.00285185795641019,0.00181381892123654,17692.9064134496,11275.7880095798,1769,0.62864501219093,0.016962556886701,1412816.00744345,63837.668814368,0.0125231497379943,0.0626157486899715
"7","Fully In Person","Attend vocational education class",3,0.000138463765302245,0.00013114255619973,859.028211990691,813.415732269945,1769,0.62864501219093,0.016962556886701,1412816.00744345,63837.668814368,0.000608025537270872,0.00304012768635436
"8","Fully In Person","BOTH pick up AND drop off",11,0.00349580754964543,0.00224854785521405,21687.9650952752,13987.6456219617,1769,0.62864501219093,0.016962556886701,1412816.00744345,63837.668814368,0.0153508772416307,0.0767543862081536
"9","Fully In Person","Changed or transferred mode (e.g., change from ferry to bus)",11,0.000551193636076408,0.000308774653452413,3419.60138542966,1914.64214755415,1769,0.62864501219093,0.016962556886701,1412816.00744345,63837.668814368,0.00242041523270788,0.0121020761635394
"10","Fully In Person","Drop someone off",258,0.0475529829954522,0.00610343808121662,295018.367211372,38992.1232713389,1769,0.62864501219093,0.016962556886701,1412816.00744345,63837.668814368,0.208815844141815,1.04407922070907
"11","Fully In Person","Dropped off, picked up, or accompanied another person",1,1.61186516775011e-07,1.61240567392294e-07,1,0.999999999999804,1769,0.62864501219093,0.016962556886701,1412816.00744345,63837.668814368,7.07806249880721e-07,3.5390312494036e-06
"12","Fully In Person","Exercise or recreation (e.g., gym, jog, bike, walk dog)",638,0.0417860134919585,0.00469607454838004,259240.129559253,29619.1242095749,1769,0.62864501219093,0.016962556886701,1412816.00744345,63837.668814368,0.183491783921927,0.917458919609634
"13","Fully In Person","Got gas",123,0.0149723629275841,0.00363245794666664,92888.4327743308,22750.3894904428,1769,0.62864501219093,0.016962556886701,1412816.00744345,63837.668814368,0.0657470132592965,0.328735066296483
"14","Fully In Person","Grocery shopping",553,0.0474588875312854,0.00567819036538847,294434.599623056,36156.0809768561,1769,0.62864501219093,0.016962556886701,1412816.00744345,63837.668814368,0.208402649794327,1.04201324897164
"15","Fully In Person","Medical appointment (e.g., doctor, dentist)",142,0.0118461123562117,0.00265147282125503,73493.1965354577,16536.4200223134,1769,0.62864501219093,0.016962556886701,1412816.00744345,63837.668814368,0.0520189438315091,0.260094719157546
