"","survey_year","hhincome_broad","telecommute_status","count","prop","prop_se","est","est_se","moe"
"1","2023","$200,000 or more","Fully In Person",242,0.429248223267553,0.0388546295082533,205541.598440346,25996.4576276748,0.0639158655410766
"2","2023","$200,000 or more","Fully at Home-Outside Employer",212,0.135722871546163,0.0235855652405272,64989.6597128695,11850.868966151,0.0387982548206672
"3","2023","$200,000 or more","Fully at Home-Self employed",29,0.0218127853823965,0.0106512787749401,10444.8534225835,5149.37442061559,0.0175213535847764
"4","2023","$200,000 or more","Hybrid",451,0.405798156937156,0.0373169058501764,194312.747962198,22486.8844416511,0.0613863101235401
"5","2023","$200,000 or more","Outside home-Self employed",9,0.00741796286673098,0.00341939996141866,3552.02389235903,1626.2059261328,0.0056249129365337
"6","2023","Under $75,000","Fully In Person",560,0.737635513305003,0.031946330146068,343990.859099788,32660.8098417721,0.0525517130902818
"7","2023","Under $75,000","Fully at Home-Outside Employer",86,0.037065092240294,0.0107245208527413,17285.0312822176,4999.4622387073,0.0176418368027595
"8","2023","Under $75,000","Fully at Home-Self employed",49,0.026640563006727,0.0114103161703681,12423.6292725738,5374.61229733576,0.0187699701002555
"9","2023","Under $75,000","Hybrid",245,0.154112749011235,0.0257729755233519,71869.3392256516,12735.2087281873,0.0423965447359138
"10","2023","Under $75,000","Outside home-Self employed",44,0.0445460824367408,0.0156290300111555,20773.7356601599,7439.82211773528,0.0257097543683508
"11","2023","$75,000-$199,999","Fully In Person",718,0.640037403185596,0.0248440647611938,636599.668529658,45252.5651179274,0.0408684865321638
"12","2023","$75,000-$199,999","Fully at Home-Outside Employer",309,0.0791045706926177,0.0117281706411648,78679.6884548616,11813.4269822674,0.0192928407047161
"13","2023","$75,000-$199,999","Fully at Home-Self employed",66,0.0293660781004638,0.00856281908823348,29208.3485929499,8621.64265275263,0.0140858374001441
"14","2023","$75,000-$199,999","Hybrid",666,0.235853819546897,0.0217045021435541,234587.014130282,23908.173927229,0.0357039060261466
"15","2023","$75,000-$199,999","Outside home-Self employed",38,0.0156381284744258,0.00657357949467624,15554.1337954539,6586.08760371202,0.0108135382687424
