"","survey_year","work_rgc_cat","telecommute_status","count","prop","prop_se","est","est_se"
"1","2019","Not RGC","Fully At Home",196,0.0668665294757364,0.0115143617233691,96545.8247599142,16807.0637031688
"2","2019","Not RGC","Fully In Person",1630,0.814316494108637,0.0245948561064908,1175758.00861399,72290.0225486699
"3","2019","Not RGC","Hybrid",216,0.118816976415627,0.02318747088758,171554.93299063,36596.3121223337
"4","2019","RGC","Fully At Home",75,0.0175760544454804,0.00687808209088662,10204.1958146749,3944.39120275084
"5","2019","RGC","Fully In Person",1377,0.914371940223752,0.0197725683685581,530860.344932914,53363.2371718821
"6","2019","RGC","Hybrid",91,0.0680520053307679,0.0184613944249734,39509.2078333327,10806.2100206759
"7","2021","Not RGC","Fully At Home",578,0.34767260676352,0.0175751270644222,591655.4609,36418.2369681929
"8","2021","Not RGC","Fully In Person",891,0.608140616702,0.0180435431846833,1034909.5956,48851.7674491967
"9","2021","Not RGC","Hybrid",66,0.0441867765344806,0.00755765551136725,75195.3048,13133.0670837385
"10","2021","RGC","Fully At Home",92,0.117007291744439,0.0185023606517422,61617.8704,10166.4646623688
"11","2021","RGC","Fully In Person",451,0.882225809467211,0.0185189435301833,464593.9136,31874.625854955
"12","2021","RGC","Hybrid",1,0.000766898788350069,0.000767909155012289,403.8609,403.860900000217
"13","2023","Not RGC","Fully At Home",671,0.153200222941926,0.014130759172093,258063.515051215,25235.7132605357
"14","2023","Not RGC","Fully In Person",1302,0.652250508057311,0.0198348769974629,1098706.35675914,58923.5563141095
"15","2023","Not RGC","Hybrid",589,0.194549269000763,0.0166665815554028,327715.373025358,31010.4097054013
"16","2023","RGC","Fully At Home",127,0.0241712240995237,0.00483607525375787,13601.0872227234,2619.68694080918
"17","2023","RGC","Fully In Person",631,0.553998295763262,0.0340301895823439,311733.452591865,28032.5815888795
"18","2023","RGC","Hybrid",552,0.421830480137214,0.0340727030073213,237362.953978925,25876.9263249113
