Survey Year,Work RGC,Telecommute Status,count,prop,prop_se,est,est_se
2019,Not RGC,Fully At Home,196,7%,1%,96546,16807
2019,Not RGC,Fully In Person,1471,76%,2%,1100488,72118
2019,Not RGC,Hybrid,375,17%,2%,246825,37076
2019,RGC,Fully At Home,75,2%,1%,10204,3944
2019,RGC,Fully In Person,1148,78%,4%,451438,49845
2019,RGC,Hybrid,320,20%,3%,118932,22017
2021,Not RGC,Fully At Home,578,35%,2%,591655,36418
2021,Not RGC,Fully In Person,636,47%,2%,791429,43205
2021,Not RGC,Hybrid,321,19%,1%,318676,26802
2021,RGC,Fully At Home,92,12%,2%,61618,10166
2021,RGC,Fully In Person,250,53%,3%,277025,25043
2021,RGC,Hybrid,202,36%,3%,187973,19919
2023,Not RGC,Fully At Home,671,15%,1%,258064,25236
2023,Not RGC,Fully In Person,1180,67%,2%,1121797,60351
2023,Not RGC,Hybrid,711,18%,2%,304625,28084
2023,RGC,Fully At Home,127,2%,0%,13601,2620
2023,RGC,Fully In Person,480,52%,3%,290910,28643
2023,RGC,Hybrid,703,46%,3%,258186,25203
