"","district","survey_year","telecommute_status","count","prop","prop_se","est","est_se"
"1","1","2023","Fully At Home",52,0.20440711331159,0.0543699214565017,29550.6325911702,8607.27847997458
"2","1","2023","Fully In Person",85,0.71369941782371,0.0597106597021885,103177.765856374,18342.8726845721
"3","1","2023","Hybrid",27,0.0818934688646994,0.029183125950496,11839.1369597212,4222.59494465603
"4","10","2023","Fully At Home",27,0.139070538771349,0.0494465647650571,24338.5629059874,9196.34437189981
"5","10","2023","Fully In Person",81,0.809591313062928,0.0559729693405744,141685.573919574,24465.5177998081
"6","10","2023","Hybrid",17,0.0513381481657228,0.0299761465993993,8984.6257852117,5344.92263091101
"7","11","2023","Fully At Home",5,0.120401729777623,0.0960994351721778,2310.54751836075,1791.13515957462
"8","11","2023","Fully In Person",13,0.858593339851149,0.0998431505882731,16476.6794824143,7955.08421560081
"9","11","2023","Hybrid",3,0.0210049303712284,0.0148557051611637,403.091299703256,232.734617591522
"10","2","2023","Fully At Home",38,0.17625414449983,0.0500283976129565,23948.7381536242,7318.0653022537
"11","2","2023","Fully In Person",87,0.724156165667498,0.0556885054145131,98395.5664879142,17450.5408811477
"12","2","2023","Hybrid",41,0.0995896898326719,0.0262292477222745,13531.8656555371,3355.60738238207
"13","3","2023","Fully At Home",160,0.170662296299228,0.0291699479074193,27069.8075799679,4569.67197387074
"14","3","2023","Fully In Person",214,0.585238893749006,0.0479072028356249,92828.3785325497,13625.5879813551
"15","3","2023","Hybrid",152,0.244098809951766,0.0414501890679006,38718.0294604027,7341.96417918905
"16","4","2023","Fully At Home",132,0.0613292797219049,0.014634952978395,17465.0151893512,4134.15425992352
"17","4","2023","Fully In Person",281,0.431922313071115,0.0439409064229187,123000.462301409,17087.2332672935
"18","4","2023","Hybrid",458,0.50674840720698,0.043904474021275,144309.026115765,17696.4455812457
"19","5","2023","Fully At Home",85,0.148468198554615,0.0364058823703775,23437.4847306011,5748.69177991647
"20","5","2023","Fully In Person",107,0.5368491696505,0.0656712818225079,84748.0762803958,16522.2516909293
"21","5","2023","Hybrid",114,0.314682631794885,0.0615241393086145,49676.4253185499,11660.785341125
"22","6","2023","Fully At Home",188,0.152132613852134,0.0297198909078368,57575.683729529,12109.1223161354
"23","6","2023","Fully In Person",271,0.45130342971895,0.0427528009963316,170799.034326758,22133.9330090402
"24","6","2023","Hybrid",344,0.396563956428916,0.0417835503356692,150082.486297607,20216.832229939
"25","7","2023","Fully At Home",39,0.124347400036086,0.0377731346268216,36862.82395641,12000.753755822
"26","7","2023","Fully In Person",140,0.684370849371517,0.0512246679934308,202881.943120321,27859.9922361704
"27","7","2023","Hybrid",95,0.191281750592397,0.0417365340814618,56705.5322114912,13495.0108253592
"28","8","2023","Fully At Home",29,0.148199835034641,0.0598174223643914,16553.3353284782,7165.41288187399
"29","8","2023","Fully In Person",72,0.699216200305707,0.080410722050499,78099.6836336511,16488.5112073208
"30","8","2023","Hybrid",22,0.152583964659652,0.0651422882454342,17043.0252649708,7950.02874649853
"31","9","2023","Fully At Home",43,0.122916616558011,0.0422640985098215,12551.9705904584,4418.46469728929
"32","9","2023","Fully In Person",85,0.770898227400541,0.062705133540406,78722.4066975626,14369.1641938709
"33","9","2023","Hybrid",24,0.106185156041447,0.0513165513022414,10843.3911793077,5582.67729808062
"34",NA,"2023","Fully In Person",16,0.672766959494528,0.135961971758203,24273.2982862629,9593.64922510618
"35",NA,"2023","Hybrid",15,0.327233040505472,0.135961971758203,11806.5031125755,5600.68535889059
