value,label
1,Drove alone
2,Drove/rode ONLY with other household members
3,Drove/rode with people not in household (may also include household members)
4,Motorcycle/moped/scooter
5,Vanpool
6,Bicycle
7,"Walk, jog, or wheelchair"
8,Bus (public transit)
9,Train (rail and monorail)
10,Ferry or water taxi
11,Streetcar
12,School bus
13,"Taxi or other hired car service (e.g. Lyft, Uber)"
14,Paratransit
15,Private bus or shuttle
16,Airplane or helicopter
17,"Other (e.g. skateboard, kayak, motor home, etc.)"
