d_rgcname_indv,population,employment
Auburn,1920,3190
Bellevue,15280,51714
Bothell Canyon Park,480,11225
Bremerton,6210,17745
Burien,3870,5615
Everett,7300,13140
Federal Way,80,2663
Greater Downtown Kirkland,0,10821
Issaquah,0,11730
Kent,2320,4282
Kirkland Totem Lake,5780,16383
Lakewood,550,5072
Lynnwood,3770,12988
Puyallup Downtown,1510,28992
Puyallup South Hill,2730,6617
Redmond Downtown,8300,11027
Redmond-Overlake,2900,3043
Renton,4940,17342
SeaTac,12100,18033
Seattle Downtown,41860,196524
Seattle First Hill/Capitol Hill,49450,47350
Seattle Northgate,8410,10491
Seattle South Lake Union,12860,77260
Seattle University Community,30460,36229
Seattle Uptown,11490,14689
Silverdale,2270,9014
Tacoma Downtown,16340,38677
Tacoma Mall,6280,9075
Tukwila,500,18648
University Place,6530,3723
Not RGC,4019340,713302
