"","survey","hh_race_poc","prev_res_factors_displaced","count","count_moe","share","share_moe","sample_size","var_name"
"1","2019","Non-POC","Displaced",81263.5018335859,23127.5180282616,0.237313513049678,0.0677932235250491,223,"prev_res_factors_displaced"
"2","2019","POC","Displaced",67150.36537564,27528.5848326188,0.311165376379642,0.103890254297762,116,"prev_res_factors_displaced"
"3","2019","Non-POC","Selected",30646.6107962806,10341.0183426648,0.0894971876307415,0.0326609007697964,123,"prev_res_factors_housing_cost"
"4","2019","POC","Selected",36886.3883778532,21738.4936593849,0.170926351013484,0.0899925817840199,71,"prev_res_factors_housing_cost"
"5","2019","Non-POC","Selected",17922.1417473763,11330.5496730048,0.0523379662884074,0.0330067962434229,47,"prev_res_factors_income_change"
"6","2019","POC","Selected",10200.0993679951,8454.26207504168,0.0472658300695313,0.0387232126367964,20,"prev_res_factors_income_change"
"7","2019","Non-POC","Selected",12293.8968949861,9994.82164653538,0.0359018230249817,0.02902128154255,36,"prev_res_factors_community_change"
"8","2019","POC","Selected",5909.665980957,4233.63634625013,0.0273845634190628,0.0200179779997734,19,"prev_res_factors_community_change"
"9","2019","Non-POC","Selected",132966.867836939,51587.6714371834,0.388302667416613,0.104205266196459,245,"prev_res_factors_hh_size"
"10","2019","POC","Selected",57891.0405755366,23977.1233699038,0.268258963729046,0.095860929847828,116,"prev_res_factors_hh_size"
"11","2019","Non-POC","Selected",109073.144265625,44511.690294475,0.31852591213774,0.100293670926305,204,"prev_res_factors_more_space"
"12","2019","POC","Selected",75883.5579204742,27417.8928138705,0.351633765941005,0.103454955702637,135,"prev_res_factors_more_space"
"13","2019","Non-POC","Selected",13545.7918349593,4951.37386010456,0.0395577273297526,0.0159688492797799,76,"prev_res_factors_less_space"
"14","2019","POC","Selected",3861.73098862099,4509.90498358958,0.0178947198548988,0.0209019029918597,12,"prev_res_factors_less_space"
"15","2019","Non-POC","Selected",38088.6468230285,15377.1842325511,0.111230138757638,0.0453647499568081,155,"prev_res_factors_employment"
"16","2019","POC","Selected",36453.4899722464,17883.1996721433,0.168920360509021,0.0770362823741362,91,"prev_res_factors_employment"
"17","2019","Non-POC","Selected",46054.9898622974,28518.2609412211,0.134494221773396,0.0760577088752815,23,"prev_res_factors_school"
"18","2019","POC","Selected",1794.73352855853,1539.90163777478,0.00831654348849855,0.00731320193154818,6,"prev_res_factors_school"
"19","2019","Non-POC","Selected",55074.1073240278,24421.3228093432,0.160832718160545,0.0668507150534471,79,"prev_res_factors_crime"
"20","2019","POC","Selected",30354.1234984485,21430.5964864872,0.140656751608611,0.0897327096028753,36,"prev_res_factors_crime"
"21","2019","Non-POC","Selected",102837.727765323,31639.7759535891,0.300316647687817,0.0831074041549589,271,"prev_res_factors_quality"
"22","2019","POC","Selected",87735.2439580523,28638.4935048704,0.406552817028613,0.105621962504471,166,"prev_res_factors_quality"
"23","2019","Non-POC","Selected",32621.9160411616,16325.5098518588,0.0952656644552833,0.0469037091221778,58,"prev_res_factors_forced"
"24","2019","POC","Selected",21601.242427038,15696.0298562534,0.100097128176097,0.0687115545662763,25,"prev_res_factors_forced"
