"","var_name","survey","var_value","count","count_moe","share","share_moe","sample_size"
"1","prev_res_factors_housing_cost","2019","Not Selected",540102.173615915,84960.9892703467,0.3369205508332,0.0429717952995201,1096
"2","prev_res_factors_housing_cost","2019","Selected",87018.9174205593,28692.2236415089,0.0542831764478195,0.0176411006818781,209
"3","prev_res_factors_housing_cost","2019","Total",1603055,134284.617444039,1,0,3044
"4","prev_res_factors_income_change","2019","Not Selected",581655.921768424,84175.4993208492,0.3628421493763,0.0427711721028878,1235
"5","prev_res_factors_income_change","2019","Selected",45465.1692680499,30323.965422,0.0283615779047194,0.0185624868790767,70
"6","prev_res_factors_income_change","2019","Total",1603055,134284.617444039,1,0,3044
"7","prev_res_factors_community_change","2019","Not Selected",608518.083203051,88656.20542672,0.379599005151446,0.0436650516070834,1248
"8","prev_res_factors_community_change","2019","Selected",18603.0078334232,10873.5893143681,0.0116047221295733,0.00679142980068759,57
"9","prev_res_factors_community_change","2019","Total",1603055,134284.617444039,1,0,3044
"10","prev_res_factors_hh_size","2019","Not Selected",413751.595037204,64939.4146606484,0.25810193351894,0.0367325869550644,929
"11","prev_res_factors_hh_size","2019","Selected",213369.49599927,62433.2315447306,0.133101793762079,0.0355621795124647,376
"12","prev_res_factors_hh_size","2019","Total",1603055,134284.617444039,1,0,3044
"13","prev_res_factors_more_space","2019","Not Selected",424411.349505079,71909.2861923716,0.264751583386147,0.039118362963644,946
"14","prev_res_factors_more_space","2019","Selected",202709.741531395,54222.5918927494,0.126452143894873,0.0314928291101356,359
"15","prev_res_factors_more_space","2019","Total",1603055,134284.617444039,1,0,3044
"16","prev_res_factors_less_space","2019","Not Selected",609201.988266029,89062.074011978,0.380025631226645,0.0437411027725342,1213
"17","prev_res_factors_less_space","2019","Selected",17919.1027704449,6736.936072323,0.0111780960543742,0.00428523004972991,92
"18","prev_res_factors_less_space","2019","Total",1603055,134284.617444039,1,0,3044
"19","prev_res_factors_employment","2019","Not Selected",542894.523204717,85779.8472074485,0.338662443400081,0.0431698404429044,1051
"20","prev_res_factors_employment","2019","Selected",84226.567831757,26099.1802669765,0.052541283880938,0.0161628208126766,254
"21","prev_res_factors_employment","2019","Total",1603055,134284.617444039,1,0,3044
"22","prev_res_factors_covid_flexibility","2019","Total",1603055,134284.617444039,1,0,3044
"23","prev_res_factors_school","2019","Not Selected",578541.945249245,84791.0931211051,0.360899623062993,0.0428991524603718,1273
"24","prev_res_factors_school","2019","Selected",48579.1457872291,28609.0968480062,0.0303041042180269,0.0175278495664309,32
"25","prev_res_factors_school","2019","Total",1603055,134284.617444039,1,0,3044
"26","prev_res_factors_crime","2019","Not Selected",533758.687385368,83057.4945603839,0.332963427571336,0.042500376385653,1183
"27","prev_res_factors_crime","2019","Selected",93362.4036511066,33883.7148358994,0.0582402997096835,0.0205964500609006,122
