variable,value,label,val_order
adult_student,,"No, not a student",1
adult_student,,Part-time student,2
adult_student,,Full-time student,3
adult_student,,"Part-time student, currently attending some or all classes in-person",4
adult_student,,"Part-time student, ONLY online classes",5
adult_student,,"Full-time student, currently attending some or all classes in-person",6
adult_student,,"Full-time student, ONLY online classes",7
adult_student,,Missing Response,8
adult_student,,Missing: Skip Logic,9
age,,Under 5 years old,10
age,,5-11 years,11
age,,12-15 years,12
age,,16-17 years,13
age,,18-24 years,14
age,,25-34 years,15
age,,35-44 years,16
age,,45-54 years,17
age,,55-64 years,18
age,,65-74 years,19
age,,75-84 years,20
age,,85 years or older,21
arrive_dow,,Monday,22
arrive_dow,,Tuesday,23
arrive_dow,,Wednesday,24
arrive_dow,,Thursday,25
arrive_dow,,Friday,26
arrive_dow,,Saturday,27
arrive_dow,,Sunday,28
attend_school_1,,Not selected,29
attend_school_1,,Selected,30
attend_school_1,,Missing Response,31
attend_school_2,,Not selected,32
attend_school_2,,Selected,33
attend_school_2,,Missing Response,34
attend_school_3,,Not selected,35
attend_school_3,,Selected,36
attend_school_3,,Missing Response,37
attend_school_998,,Not selected,38
attend_school_998,,Selected,39
attend_school_998,,Missing Response,40
attend_school_999,,Not selected,41
attend_school_999,,Selected,42
attend_school_999,,Missing Response,43
benefits_1,,Not offered,44
benefits_1,,"Offered, but I don't use",45
benefits_1,,"Offered, and I use",46
benefits_1,,I don't know,47
benefits_1,,Missing: Skip Logic,48
benefits_1,,Missing Response,49
benefits_1,,N/A,50
benefits_1,,,51
benefits_2,,Not offered,52
benefits_2,,"Offered, but I don't use",53
benefits_2,,"Offered, and I use",54
benefits_2,,I don't know,55
benefits_2,,Missing: Skip Logic,56
benefits_2,,Missing Response,57
benefits_2,,N/A,58
benefits_2,,,59
benefits_3,,Not offered,60
benefits_3,,"Offered, but I don't use",61
benefits_3,,"Offered, and I use",62
benefits_3,,I don't know,63
benefits_3,,Missing: Skip Logic,64
benefits_3,,Missing Response,65
benefits_3,,N/A,66
benefits_3,,,67
benefits_4,,Not offered,68
benefits_4,,"Offered, but I don't use",69
