,GEOID,name,state,variable,,estimate,moe,label,concept,census_geography,acs_type,year,se,cv,reliability
1,53033,King County,Washington,B08301_001,,1212908,4402,Estimate!!Total:,Means of Transportation to Work,County,acs5,2022,2675.987842,0.002206258,good
2,53033,King County,Washington,B08301_002,,738961,4806,"Estimate!!Total:!!Car, truck, or van:",Means of Transportation to Work,County,acs5,2022,2921.580547,0.003953633,good
3,53033,King County,Washington,B08301_003,,645935,5303,"Estimate!!Total:!!Car, truck, or van:!!Drove alone",Means of Transportation to Work,County,acs5,2022,3223.708207,0.004990763,good
4,53033,King County,Washington,B08301_004,,93026,2974,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:",Means of Transportation to Work,County,acs5,2022,1807.902736,0.019434381,good
5,53033,King County,Washington,B08301_005,,72086,2678,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool",Means of Transportation to Work,County,acs5,2022,1627.963526,0.02258363,good
6,53033,King County,Washington,B08301_006,,12172,1024,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool",Means of Transportation to Work,County,acs5,2022,622.4924012,0.051141341,good
7,53033,King County,Washington,B08301_007,,3989,528,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool",Means of Transportation to Work,County,acs5,2022,320.9726444,0.080464438,good
8,53033,King County,Washington,B08301_008,,3649,616,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool",Means of Transportation to Work,County,acs5,2022,374.4680851,0.102622112,good
9,53033,King County,Washington,B08301_009,,1130,235,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool",Means of Transportation to Work,County,acs5,2022,142.8571429,0.12642225,good
10,53033,King County,Washington,B08301_010,,112694,2783,Estimate!!Total:!!Public transportation (excluding taxicab):,Means of Transportation to Work,County,acs5,2022,1691.793313,0.015012275,good
11,53033,King County,Washington,B08301_011,,95053,2570,Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus,Means of Transportation to Work,County,acs5,2022,1562.31003,0.016436199,good
12,53033,King County,Washington,B08301_012,,4943,615,Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail,Means of Transportation to Work,County,acs5,2022,373.8601824,0.075634267,good
13,53033,King County,Washington,B08301_013,,2708,463,Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail,Means of Transportation to Work,County,acs5,2022,281.4589666,0.103936103,good
14,53033,King County,Washington,B08301_014,,8899,864,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)",Means of Transportation to Work,County,acs5,2022,525.2279635,0.059021009,good
