variable,description,logic
non_res_streets,How comfortable would you feel bicycling on: Non-residential streets without bike lanes,If can_bike = Yes
time_start,Time Started,NA
date_complete,Date Submitted,NA
complete,Completed all survey questions,NA
ip_lon,Longitude of IP address,NA
ip_lat,Latitude of IP address,NA
enjoy_travel,I generally enjoy the act of travelling itself.,NA
cost_consideration,Cost considerations affect the choices I make about my daily travel.,NA
worry,I worry a lot.,NA
dest_proximity,"I like the idea of having stores, restaurants, and offices mixed among the homes in my neighborhood.",NA
satisfied,I am generally satisfied with my life.,NA
safety_ratings,I don't pay much attention to vehicle safety ratings.,NA
environment_emphasis,Environmental issues are emphasized too much in this country.,NA
own_car,I want to own a car.,NA
risk_taking,I enjoy taking risks for the sake of excitement.,NA
travel_satisfaction,"Overall, I am satisfied with my daily travel.",NA
safe_option,"I generally choose the safe option in life, even if it is boring or dull.",NA
travel_stressful,My daily travel is often stressful.,NA
telework_importance,It is important for my job to allow me to telework.,NA
transit_travel,I like the idea of public transit as a means of travel for me personally.,NA
drive,"Can drive a motor vehicle, including a car, personal truck, SUV, van, or motorcycle",NA
travel_methods_drove,Travel methods in past 30 days -- Drove (with others or alone) or rode in a car with person(s) that you know,NA
travel_methods_rideshare,"Travel methods in past 30 days -- Rideshare (e.g., Uber, Lyft, other smartphone-app ride service, or taxi)",NA
travel_methods_carshare,"Travel methods in past 30 days -- Carshare (e.g., Turo, ZipCar, Getaround, GIG)",NA
travel_methods_motorcycle,Travel methods in past 30 days -- Motorcycle,NA
travel_methods_transit,"Travel methods in past 30 days -- Transit (e.g., bus, rail, passenger ferry)",NA
travel_methods_bicycle,Travel methods in past 30 days -- Bicycle (outside for 15 minutes or more),NA
travel_methods_e_scooter,"Travel methods in past 30 days -- E-scooter (e.g., Bird, Lime)",NA
travel_methods_walk,Travel methods in past 30 days -- Walk or wheelchair/roll (outside for 15 minutes or more),NA
travel_methods_none,Travel methods in past 30 days -- None,NA
drive_relax,Driving is relaxing for me.,If drive = Yes
small_car,I prefer driving a small car that can easily fit into parking spaces.,If drive = Yes
walk_trips,I try to make as many of my trips as possible by walking/rolling or bicycling.,NA
physical_close,Being physically close to people I don't know makes me uncomfortable.,NA
comfortable_test,Respond very comfortable to this question if you are paying attention.,NA
active_transport_practical,Walking/rolling or bicycling is not a practical way for me to travel.,NA
safe_car_size,"To feel safe when driving, I need a car that is bigger than average",If drive = Yes
learn_bike,Did you ever learn how to ride a bicycle?,NA
want_learn_bike,Would you ever be interested in learning how to ride a bicycle?,If learn_bike = No
can_bike,Are you physically able to ride a bicycle now?,If learn_bike = Yes
bike_confidence,"Generally, how confident are you at riding a bicycle?",If can_bike = Yes
res_with_lanes,How comfortable would you feel bicycling on: Non-residential streets with bike lanes,If can_bike = Yes
bike_trails,Comfortable bicycling on bike trail separate from the street,If can_bike = Yes
want_bike,I would like to travel more by bicycle than I do now.,If can_bike = Yes or learn_bike = Yes
employ,"Last week, did you do any work for pay or profit?",NA
employment,"Last week, what was your employment status?",If employ is not No
work_days,"Currently, how many days do you typically work for pay or profit each week?",If employ is not No
telework,"Do you ever work from home or telework (i.e., work remotely from anywhere)?",If employ is not No
telework_freq,"Currently, how often do you typically work from home or telework for part or all of your day's work?","If employ is not No and telework is not No or Yes, all of the time."
commute_freq,"Currently, how often do you typically commute to a work location away from home?","If employ is not No and telework is not Yes, all of the time."
office_type,"Currently, which of the following best describes where you work away from home?","If employ is not No and telework is not Yes, all of the time."
work_loc_1,Work address line 1 (or intersection street 1),"If employ is not No and telework is not Yes, all of the time."
work_loc_2,Work address line 2 (or intersection street 2),"If employ is not No and telework is not Yes, all of the time."
work_loc_3,Work city,"If employ is not No and telework is not Yes, all of the time."
work_loc_4,Work state or province,"If employ is not No and telework is not Yes, all of the time."
work_loc_5,Work zip code,"If employ is not No and telework is not Yes, all of the time."
commute_mode,"Currently, how do you typically travel to your primary workplace?",If employ is not No and commute_freq is not Never
commute_mode_other,Other commute mode,If commute_mode = other
transit_freq,"In the past 30 days, how often have you used transit (e.g., bus, rail, passenger ferry)?",If travel_method is Transit
bike_freq,"In the past 30 days, how often have you ridden a bicycle outside for 15 or more minutes?",If travel_method is bike
walk_freq,"In the past 30 days, how often have you walked outside for 15 or more minutes?",If travel_method is walk
tnc_freq,"In the past 30 days, how often have you used Uber, Lyft, or other smartphone-app ride services (i.e., rideshare), or a taxi?",If travel_method is TNC
motorcycle_freq,"In the past 30 days, how often have you ridden a motorcycle?",if travel_method is Motorcycle
car_freq,"In the past 30 days, how often have you driven in a car (alone or with others) or ridden in a car with person(s) that you know?",If travel_method is drive with others or ride in a car
caregiver,"Are you a caregiver for someone who has difficulty doing errands alone (such as visiting a doctor's office or shopping) because of a physical, mental, or emotional condition?",NA
walk_comfort,"I could comfortably walk/roll to some activity locations (e.g., stores, parks, libraries, schools) near my home",NA
walk_comfort_traffic,"Discomfort walking/rolling -- Traffic safety concerns (e.g., high traffic speeds, erratic driving)",If walk_comfort is not agree
walk_comfort_infra,"Discomfort walking/rolling -- Disconnected, missing, or poor-quality infrastructure (e.g., no sidewalks, incomplete sidewalks, missing curb ramps)",If walk_comfort is not agree
walk_comfort_comfort,"Discomfort walking/rolling -- Uncomfortable travel (e.g., the route is too hilly or steep, too noisy from cars)",If walk_comfort is not agree
walk_comfort_security,"Discomfort walking/rolling -- Personal security concerns (e.g., fear of crime, others acting unsafe ways like yelling or using drugs)",If walk_comfort is not agree
walk_comfort_maintenance,"Discomfort walking/rolling -- Poor maintenance (e.g., broken sidewalks, debris on sidewalks or in crosswalks)",If walk_comfort is not agree
walk_comfort_perception,Discomfort walking/rolling -- People would look down on me for walking/rolling,If walk_comfort is not agree
walk_comfort_far,Discomfort walking/rolling -- It is physically or mentally challenging for me to walk/roll very far,If walk_comfort is not agree
walk_comfort_dist,Discomfort walking/rolling -- Places I want to visit are too far away for me to walk/roll,If walk_comfort is not agree
walk_comfort_dislike,Discomfort walking/rolling -- I don't like to walk/roll,If walk_comfort is not agree
walk_comfort_other,Discomfort walking/rolling -- Some other reason,If walk_comfort is not agree
walk_comfort_other_specify,Other reason for discomfort walking/rolling to activity locations near home,if selected walk_comfort_other
bike_comfort,"I could comfortably bicycle to some activity locations (e.g., stores, parks, libraries, schools) within a few miles of my home.",NA
bike_comfort_traffic,"Discomfort biking -- Traffic safety concerns (e.g., high traffic speeds, erratic driving)",if bike_comfort is not agree
bike_comfort_infra,"Discomfort biking -- Disconnected, missing, or poor-quality infrastructure (e.g., no bike lanes, bike lanes are incomplete and/or frequently blocked)",if bike_comfort is not agree
bike_comfort_comfort,"Discomfort biking -- Uncomfortable travel (e.g., the route is too hilly or steep, too noisy from cars)",if bike_comfort is not agree
bike_comfort_security,"Discomfort biking -- Personal security concerns (e.g., fear of crime, others acting unsafe ways like yelling or using drugs)",if bike_comfort is not agree
bike_comfort_maintenance,"Discomfort biking -- Poor roadway maintenance (e.g., debris in bike lanes, potholes)",if bike_comfort is not agree
bike_comfort_perception,Discomfort biking -- People would look down on me for bicycling,if bike_comfort is not agree
bike_comfort_far,Discomfort biking -- It is physically or mentally challenging for me to bicycle very far,if bike_comfort is not agree
bike_comfort_distance,Discomfort biking -- Places I want to visit are too far away for me to bicycle,if bike_comfort is not agree
bike_comfort_own,Discomfort biking -- I don't own a bicycle,if bike_comfort is not agree
bike_comfort_dislike,Discomfort biking -- I don't like to bicycle/can't bicycle,if bike_comfort is not agree
bike_comfort_other,Discomfort biking -- Some other reason,if bike_comfort is not agree
bike_comfort_other_specify,Other reason for discomfort biking to activity locations near home,if selected bike_comfort_other
transit_comfort,"I could comfortably take transit to some activity locations (e.g., stores, parks, libraries, schools) within a few miles of my home.",NA
transit_comfort_traffic,"Discomfort taking transit -- Traffic safety concerns (e.g., high traffic speeds at or near bus stops or train stations)",if transit_comfort is not agree
transit_comfort_infra,"Discomfort taking transit -- Disconnected, missing, or poor-quality infrastructure (e.g., no bike lanes connecting me to bus stops or train stations, lack of sidewalks/crosswalks connecting me to bus stops or train stations)",if transit_comfort is not agree
transit_comfort_schedule,"Discomfort taking transit -- Scheduling/frequency (e.g., service is too infrequent, or does not fit with my schedule)",if transit_comfort is not agree
transit_comfort_comfort,"Discomfort taking transit -- Uncomfortable traveling to transit (e.g., the route is too hilly or steep while walking/rolling to transit, no place to wait on the bus)",if transit_comfort is not agree
transit_comfort_comfort_bus,"Discomfort taking transit -- Uncomfortable while riding transit (e.g., too close to others while riding a bus, unclean stations or buses)",if transit_comfort is not agree
transit_comfort_security,"Discomfort taking transit -- Personal security concerns (e.g., fear of crime, others acting unsafe ways like yelling or using drugs)",if transit_comfort is not agree
transit_comfort_perception,Discomfort taking transit -- People would look down on me for riding transit,if transit_comfort is not agree
transit_comfort_mismatch,Discomfort taking transit -- Transit does not go to places I want to visit,if transit_comfort is not agree
transit_comfort_available,Discomfort taking transit -- Transit is not available near my home,if transit_comfort is not agree
transit_comfort_challenge,Discomfort taking transit -- It is physically or mentally challenging for me to ride transit or get to transit stops/stations,if transit_comfort is not agree
transit_comfort_dislike,Discomfort taking transit -- I don't like transit,if transit_comfort is not agree
transit_comfort_other,Discomfort taking transit -- Some other reason,if transit_comfort is not agree
transit_comfort_other_specify,Some other reason,if selected transit_comfort_other
neighborhood_trips,Most of my daily trips are within my own neighborhood or nearby neighborhoods.,NA
walk_recreation,"How often do you walk, roll, or run for recreation or exercise?",NA
walk_recreation_comfort,"It is comfortable for me to walk, roll, or run in my neighborhood for recreation or exercise.",If walk_recreation is not Never
bike_recreation,How often do you ride a bicycle for recreation or exercise?,NA
bike_recreation_comfort,It is comfortable for me to ride a bicycle in my neighborhood for recreation or exercise.,if bike_recreation is not Never
traffic_worry,"In general, I worry about being in a traffic crash when I'm traveling.",NA
harrassment,I generally feel safe from harassment when I travel.,NA
urgent_worry,"Given my current travel options, I worry about my ability to make urgent trips (e.g., to the hospital) if I needed to.",NA
walk_recreation_relax,"Walking/rolling for travel, exercise, or to take a break is relaxing to me.",NA
travel_anxiety,Even just planning my travel can make me anxious about my safety.,NA
overall_safety,"Overall, I feel safe when traveling day-to-day.",NA
travel_worry,"When I think about traveling, I worry about the safety of those traveling with me.",NA
drive_safely,"In general, I think people drive safely in my neighborhood.",NA
bike_comfort_cars,I am/would be comfortable bicycling even when there are a lot of cars around me.,NA
alert_traveler,I am generally on the alert against someone bothering me when I travel alone.,NA
drive_worry,"When driving, I worry about my own safety.",If travel_method is drive with others or ride in a car
signal_confidence,"With a Walk signal in my favor, I am confident crossing the street.",NA
worry_destination,"Before I go somewhere, I worry about making it to my destination safely.",NA
safety_choices,Safety concerns affect the travel choices I make.,NA
safety_choices_costs,Safety-related travel choices have increased my transportation costs.,NA
safety_choices_modes,"I avoid certain modes of transportation (e.g., walking or rolling, bicycling, transit) because of safety concerns.",NA
worry_security,Worries about personal security keep me from going where I need to go.,NA
shortest_path_fear,You fear being involved in a traffic crash on the shortest path?,NA
shortest_path_assault,You fear being assaulted or harassed on the shortest path?,NA
traffic_crash_worry,You worry about being involved in a traffic crash otherwise?,NA
traffic_harrassment,You worry about being assaulted or harassed otherwise?,NA
no_safe_travel,You do not have a way to travel that feels safe from being in a traffic crash?,NA
no_harm_travel,You do not have a way to travel that feels safe from harm from others?,NA
feel_safe,You do not feel safe from traffic crashes otherwise?,NA
fear_assault,You fear being assaulted or harassed otherwise?,NA
feel_safe_crash,You do not feel safe from traffic crashes otherwise?,NA
fear_assault_2,You feared being assaulted or harassed otherwise.,NA
avoid_walk_1,You did not feel safe from traffic crashes otherwise?,NA
avoid_walk_2,You worry about being assaulted or harassed otherwise?,NA
system_safe,Engineers and planners have designed a transportation system that is generally safe.,NA
safe_clothes,Wearing dark colors while walking or using a wheelchair at night is a cause of traffic deaths.,NA
traffic_enforcement,More enforcement of traffic laws would substantially improve traffic safety.,NA
speed_limits,Vehicle speed limits are set too high in some places.,NA
