variable,is_checkbox,hh,person,day,trip,vehicle,location,data_type,description,logic,shared_name
adult_student,0,0,1,0,0,0,0,integer/categorical,Student status (only inlcudes students age 18+),if age 18+,adult_student
age,0,0,1,0,0,0,0,integer/categorical,Age,,age
analyst_merged,0,0,0,0,1,0,0,integer/categorical,Analyst merged two or more trips,if hhgroup = rMove,analyst_merged
analyst_split,0,0,0,0,1,0,0,integer/categorical,Analyst split trip,if hhgroup = rMove,analyst_split
analyst_split_loop,0,0,0,0,1,0,0,integer/categorical,Analyst split loop trip into two trips,if hhgroup = rMove,analyst_split_loop
arrival_time_hour,0,0,0,0,1,0,0,numeric,Arrival time hour,,arrival_time_hour
arrival_time_minute,0,0,0,0,1,0,0,numeric,Arrival time minute,,arrival_time_minute
arrival_time_second,0,0,0,0,1,0,0,numeric,Arrival time second,,arrival_time_second
arrive_date,0,0,0,0,1,0,0,date,Date of arrival,,arrive_date
arrive_dow,0,0,0,0,1,0,0,integer/categorical,Arrival day of week,,arrive_dow
attend_school_1,1,0,0,1,0,0,0,integer/categorical,"Did child travel to school -- Yes, traveled to school",if child attends in-person school or daycare at least some of the time and school was not selected as a purpose on travel day for child's roster,attend_school
attend_school_2,1,0,0,1,0,0,0,integer/categorical,"Did child travel to school -- Yes, traveled to another location for school",if child attends in-person school or daycare at least some of the time and school was not selected as a purpose on travel day for child's roster,attend_school
attend_school_3,1,0,0,1,0,0,0,integer/categorical,"Did child travel to school -- No, did not travel for school",if child attends in-person school or daycare at least some of the time and school was not selected as a purpose on travel day for child's roster,attend_school
attend_school_998,1,0,0,1,0,0,0,integer/categorical,Did child travel to school -- Don't know,if child attends in-person school or daycare at least some of the time and school was not selected as a purpose on travel day for child's roster,attend_school
attend_school_999,1,0,0,1,0,0,0,integer/categorical,Did child travel to school -- Prefer not to answer,if child attends in-person school or daycare at least some of the time and school was not selected as a purpose on travel day for child's roster,attend_school
benefits_1,0,0,1,0,0,0,0,integer/categorical,Employer commuter benefits -- Flextime,if full/part-time employed,benefits_1
benefits_2,0,0,1,0,0,0,0,integer/categorical,Employer commuter benefits -- Compressed Week,if full/part-time employed,benefits_2
benefits_3,0,0,1,0,0,0,0,integer/categorical,Employer commuter benefits -- Free/partially subsidized passes/fares,if full/part-time employed,benefits_3
benefits_4,0,0,1,0,0,0,0,integer/categorical,"Employer commuter benefits -- Other subsidized commute (vanpool, bike, etc.)",if full/part-time employed,benefits_4
bike_freq,0,0,1,0,0,0,0,integer/categorical,How often the person has ridden a bike outside for 15 or more minutes in the past 30 days,if age 18+ and bikes (share_2 = 1),bike_freq
bike_freq_pre_2023,0,0,1,0,0,0,0,integer/categorical,Times ridden a bike in past 30 days,,bike_freq_pre_2023
bike_frequency,0,0,1,0,0,0,0,integer/categorical,How often the person has ridden a bike outside for 15 or more minutes in the past 30 days,,bike_freq
broadband,0,1,0,0,0,0,0,integer/categorical,Broadband internet service at current residence,,broadband
carshare_freq,0,0,1,0,0,0,0,integer/categorical,"How often the person has used carshare (e.g., Turo, ZipCar, Getaround, GIG) in the past 30 days",if age 18+ and uses carshare (share_5 = 1),carshare_freq
change_vehicles,0,0,0,0,1,0,0,integer/categorical,Changed vehicles at carpool start location,"If mode = Vanpool, household vehicle, or other vehicle and travel party has >= 2 non-household travelers",change_vehicles
commute_dur,0,0,1,0,0,0,0,integer/categorical,How long has been commuting to current location/office,"if workplace = fixed or telecommutes some days (2017-2021); if commute_freq is not ""never"" (2023)",commute_dur
commute_freq,0,0,1,0,0,0,0,integer/categorical,How often commuted to workplace last week,"if workplace = fixed, varied, telecommutes some days (2017-2021); if employment = full/part/self/volunteer and job_type IS NOT ""work only from home"" or “drive/bike/travel for work” (2023)",commute_freq
commute_subsidy_1,1,0,1,0,0,0,0,integer/categorical,Commute benefits provided by employer -- Free (fully subsidized) transit passes or fares,If employed full/part/furloughed/volunteer,commute_subsidy
commute_subsidy_2,1,0,1,0,0,0,0,integer/categorical,Commute benefits provided by employer -- Discounted (partially subsidized) transit passes or fares,If employed full/part/furloughed/volunteer,commute_subsidy
commute_subsidy_3,1,0,1,0,0,0,0,integer/categorical,Commute benefits provided by employer -- Free (fully subsidized) parking at work,If employed full/part/furloughed/volunteer,commute_subsidy
commute_subsidy_4,1,0,1,0,0,0,0,integer/categorical,Commute benefits provided by employer -- Discounted (partially subsidized) parking at work,If employed full/part/furloughed/volunteer,commute_subsidy
commute_subsidy_5,1,0,1,0,0,0,0,integer/categorical,"Commute benefits provided by employer -- Compressed work week (e.g., four 10-hour days, 9 days/80 hours)",If employed full/part/furloughed/volunteer,commute_subsidy
commute_subsidy_6,1,0,1,0,0,0,0,integer/categorical,Commute benefits provided by employer -- Flextime (can adjust schedule as long as work the right number of total hours),If employed full/part/furloughed/volunteer,commute_subsidy
commute_subsidy_7,1,0,1,0,0,0,0,integer/categorical,Commute benefits provided by employer -- Ability to work from home,If employed full/part/furloughed/volunteer,commute_subsidy
commute_subsidy_996,1,0,1,0,0,0,0,integer/categorical,Commute benefits provided by employer -- None of the above,If employed full/part/furloughed/volunteer,commute_subsidy
commute_subsidy_998,1,0,1,0,0,0,0,integer/categorical,Commute benefits provided by employer -- Don't know,If employed full/part/furloughed/volunteer,commute_subsidy
commute_subsidy_transit,0,0,1,0,0,0,0,integer/categorical,Worker offered transit pass through work,,commute_subsidy_transit
commute_subsidy_use_1,1,0,1,0,0,0,0,integer/categorical,Commute benefit used -- Free (fully subsidized) transit passes or fares,if employer offers free transit passes,commute_subsidy_use
commute_subsidy_use_2,1,0,1,0,0,0,0,integer/categorical,Commute benefit used -- Discounted (partially subsidized) transit passes or fares,if employer offers discounted transit passes,commute_subsidy_use
commute_subsidy_use_3,1,0,1,0,0,0,0,integer/categorical,Commute benefit used -- Free (fully subsidized) parking at work,if employer offers free parking at work,commute_subsidy_use
commute_subsidy_use_4,1,0,1,0,0,0,0,integer/categorical,Commute benefit used -- Discounted (partially subsidized) parking at work,if employer offers discounted parking at work,commute_subsidy_use
commute_subsidy_use_5,1,0,1,0,0,0,0,integer/categorical,"Commute benefit used -- Compressed work week (e.g., four 10-hour days, 9 days/80 hours)",if employer offers a compressed work week,commute_subsidy_use
commute_subsidy_use_6,1,0,1,0,0,0,0,integer/categorical,Commute benefit used -- Flextime (can adjust schedule as long as work the right number of total hours),if employer offers flextime,commute_subsidy_use
commute_subsidy_use_7,1,0,1,0,0,0,0,integer/categorical,Commute benefit used -- Ability to work from home,if employer offers ability to work from home,commute_subsidy_use
commute_subsidy_use_996,1,0,1,0,0,0,0,integer/categorical,Commute benefit used -- None of the above,if employer offers any commute benefits,commute_subsidy_use
copied_trip,0,0,0,0,1,0,0,integer/categorical,Trip was copied from another HH member,,copied_trip
d_in_region,0,0,0,0,1,0,0,integer/categorical,Trip destination is in PSRC MPO area,,d_in_region
day_id,0,0,0,1,1,0,0,numeric,Unique identifier for each person day,,day_id
day_iscomplete,0,0,0,1,1,0,0,integer/categorical,All surveys are completed for travel date,,day_iscomplete
day_pct_trips_flagged,0,0,0,1,0,0,0,numeric,Percent of person's trip traces flagged on day,,day_pct_trips_flagged
day_weight,0,0,0,1,0,0,0,numeric,Person-day-level weight,,day_weight
day_weight_2023,0,0,0,1,0,0,0,numeric,Person-day-level weight 2023,,day_weight_2023
daynum,0,0,0,1,1,0,0,numeric,Diary day sequence,,daynum
days_first_trip,0,0,0,0,1,0,0,integer/categorical,First trip of the day (Flag).,,days_first_trip
days_last_trip,0,0,0,0,1,0,0,integer/categorical,Last trip of the day (Flag).,,days_last_trip
deliver_elsewhere,1,0,0,1,0,0,0,integer/categorical,Deliveries and home services -- Packages delivered elsewhere,,deliver
deliver_food,1,0,0,1,0,0,0,integer/categorical,Deliveries and home services -- Food/meal prep delivered,"2017, 2019: if hhgroup = rMove",deliver
deliver_grocery,1,0,0,1,0,0,0,integer/categorical,Deliveries and home services -- Groceries delivered,"2017, 2019: if hhgroup = rMove",deliver
deliver_none,1,0,0,1,0,0,0,integer/categorical,Deliveries and home services -- None,,deliver
deliver_office,1,0,0,1,0,0,0,integer/categorical,Deliveries and home services -- Packages delivered at work,,deliver
deliver_other,1,0,0,1,0,0,0,integer/categorical,Deliveries and home services -- Other deliveries,,deliver
deliver_package,1,0,0,1,0,0,0,integer/categorical,Deliveries and home services -- Packages delivered at home,"2017, 2019: if hhgroup = rMove",deliver
deliver_work,1,0,0,1,0,0,0,integer/categorical,Deliveries and home services -- Services delivered,"2017, 2019: if hhgroup = rMove; 2023: if employment = full/part/self/volunteer and job_type = ""only one work location"" or ""teleworks some days and travels to a work location some days""",deliver
depart_date,0,0,0,0,1,0,0,date,Date of departure,,depart_date
depart_dow,0,0,0,0,1,0,0,integer/categorical,Departure day of week,,depart_dow
depart_time_hour,0,0,0,0,1,0,0,numeric,Departure time hour,,depart_time_hour
depart_time_minute,0,0,0,0,1,0,0,numeric,Departure time minute,,depart_time_minute
depart_time_second,0,0,0,0,1,0,0,numeric,Departure time second,,depart_time_second
dest_county,0,0,0,0,1,0,0,integer/categorical,Trip Destination County,,dest_county
dest_jurisdiction,0,0,0,0,1,0,0,integer/categorical,Trip Destination Jurisdiction,,dest_jurisdiction
dest_lat,0,0,0,0,1,0,0,numeric,Destination latitude,,dest_lat
dest_lng,0,0,0,0,1,0,0,numeric,Destination longitude,,dest_lng
dest_name,0,0,0,0,1,0,0,character,Destination name,if hhgroup = online diary,dest_name
dest_purpose,0,0,0,0,1,0,0,integer/categorical,Destination purpose,,dest_purpose
dest_purpose_cat,0,0,0,0,1,0,0,integer/categorical,Destination purpose category,,dest_purpose_cat
dest_purpose_cat_5,0,0,0,0,1,0,0,integer/categorical,Destination purpose category (5 categories),,dest_purpose_cat_5
dest_purpose_other,0,0,0,0,1,0,0,character,Other trip destination textbox answer,"if purpose ""other"" selected",dest_purpose_other
dest_rgcname,0,0,0,0,1,0,0,integer/categorical,Destination location: Regional Growth Center,,dest_rgcname
dest_tract10,0,0,0,0,1,0,0,character,Destination Census Tract 2010,,dest_tract10
dest_tract20,0,0,0,0,1,0,0,character,Destination Census Tract 2020,,dest_tract20
dest_x_coord,0,0,0,0,1,0,0,numeric,Destination: X coordinate,,dest_x_coord
dest_y_coord,0,0,0,0,1,0,0,numeric,Destination: Y coordinate,,dest_y_coord
disability_person,0,0,1,0,0,0,0,integer/categorical,Person has a disability or illness that affects ability to travel,if age 18+,disability_person
displaced,0,1,0,0,0,0,0,integer/categorical,Household experienced residential displacement,,displaced
distance_meters,0,0,0,0,1,0,0,numeric,Distance (meters). Trips recorded in online survey are straight-line distances between origin and destination. Trips recorded in rMove are path distances via all points recorded by the app.,,distance_meters
distance_miles,0,0,0,0,1,0,0,numeric,Distance (miles). Trips recorded in online survey are straight-line distances between origin and destination. Trips recorded in rMove are path distances via all points recorded by the app.,,distance_miles
driver,0,0,0,0,1,0,0,integer/categorical,"Driver or passenger on auto trip, non-taxi",if mode = auto (non-taxi) and travel party > 1,driver
duration_minutes,0,0,0,0,1,0,0,numeric,Duration (in minutes). Calculated as the difference between start and stop time of the trip.,,duration_minutes
duration_seconds,0,0,0,0,1,0,0,numeric,Duration (in seconds). Calculated as the difference between start and stop time of the trip.,,duration_seconds
dwell_mins,0,0,0,0,1,0,0,numeric,"Dwell minutes.  Minutes spent at destination location, calculated as the time elapsed between the trip arrive time and the depart time of the next trip. Zero if the trip is the last trip made by the person.",,dwell_mins
education,0,0,1,0,0,0,0,integer/categorical,Educational attainment,if age 18+,education
employment,0,0,1,0,0,0,0,integer/categorical,Employment status,"2017, 2019, 2021: if age 18+; 2023: If age > 16+",employment
ethnicity_1,1,0,1,0,0,0,0,integer/categorical,"Ethnicity -- Not of Hispanic, Latino, or Spanish origin",if age 18+,ethnicity
ethnicity_2,1,0,1,0,0,0,0,integer/categorical,"Ethnicity -- Mexican, Mexican American, Chicano",if age 18+,ethnicity
ethnicity_3,1,0,1,0,0,0,0,integer/categorical,Ethnicity -- Puerto Rican,if age 18+,ethnicity
ethnicity_4,1,0,1,0,0,0,0,integer/categorical,Ethnicity -- Cuban,if age 18+,ethnicity
ethnicity_997,1,0,1,0,0,0,0,integer/categorical,"Ethnicity -- Another Hispanic, Latino, or Spanish origin",if age 18+,ethnicity
ethnicity_999,1,0,1,0,0,0,0,integer/categorical,Ethnicity -- Prefer not to answer,if age 18+,ethnicity
ethnicity_other,0,0,1,0,0,0,0,character,Other ethnicity textbox answer,if ethnicity = other,ethnicity_other
